Descripcion;ClasePuntoGestion;Departamento;Externo;Activo;IdPMP;
Esteban Echeverría - UFIyJ Nro 3 Del. Sexuales ;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;795 UFJ4;
Esteban Echeverría - UFIyJ Nro 1;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;790 FG 5;
Esteban Echeverría - UFIyJ Nro 2 ;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;790 UFJ29;
Esteban Echeverría - UFIyJ Nro 4 ;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;795 UFJ6;
EZEIZA - UFIyJ N° 1;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;700 FDC37;
EZEIZA - UFIyJ N° 2;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;700 FDC38;
EZEIZA - UFIyJ N° 3 Del. Sexuales;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;794 UFJ1;
EZEIZA - UFIyJ N° 4 Estup. y V. Inst;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;794 UFJ2;
Fisc. del Fuero de R. Penal Juvenil Nro.1;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;700 FRJ1;
Fisc. del Fuero de R. Penal Juvenil Nro.2;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;700 FRJ2;
Fisc. del Fuero de R. Penal Juvenil Nro.3;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;700 FRJ3;
Fisc. del Fuero de R. Penal Juvenil Nro.4;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;790 FG 10;
Fisc. del Fuero de R. Penal Juvenil Nro.5;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;790 UFJ24;
Fisc. del Fuero de R. Penal Juvenil Nro.6;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;790 UFJ25;
Fisc. del Fuero de R. Penal Juvenil Nro.7;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;790 UFJ26;
Fiscalía de Juicio y Ejecución Penal Juvenil;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;790 UFJ27;
UFI Instructores;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;;
UFIyJ N° 1 CyC;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;700 UFI1;
UFIyJ N° 2 Violencia de Género y Familiar;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;790 UFJ114;
UFIyJ N° 3 CyC;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;700 UFI3;
UFIyJ N° 4 CyC;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;700 UFI4;
UFIyJ N° 5 CyC;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;700 UFI5;
UFIyJ N° 6 CyC;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;700 UFI6;
UFIyJ N° 7 CyC;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;700 UFI7;
UFIyJ N° 8 Del. Económicos y V. Inst.;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;790 UFJ115;
UFIyJ N° 9 Delitos Sexuales;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;790 UFJ116;
UFIyJ N° 10 Del. Culposos;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;790 UFJ117;
UFIyJ N° 11 Entraderas, Escruches y Merc. en Tránsito;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;790 UFJ118;
UFIyJ N° 12  Violencia de Género y Familiar;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;790 UFJ119;
UFIyJ N° 13 Autores Ignorados (NN);Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;790 UFJ120;
UFIyJ N° 14 Estupefacientes;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;790 UFJ121;
UFIyJ N° 15 Flagrancia;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;790 UFJ122;
UFIyJ N° 16 Violencia de Género y Familiar;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;790 UFJ127;
UFIyJ N° 17 Violencia de Género y Familiar;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;790 UFJ129;
Unidad de Asist. Juicio Común y por Jurados;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;790 UFJ125;
Unidad esp. en Ejecución Penal N° 1;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;790 UFJ123;
Unidad esp. en Ejecución Penal N° 2;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;790 UFJ124;
Unidad esp. en Ejecución Penal N° 3;Unidad Funcional de Instruccion Y Juicio;Lomas de Zamora;;;790 UFJ128;
